# source: N73 = Norlen, G., 1973, Phys. Scr., 8, 249
  wave_air     wn     int element ion source intlev
---------- ---------- --- ------- --- ------ ------
 4596.0967 21751.4984  14      Ar   I    N73    4
 4598.7627 21738.8889   9      Ar  II    N73    4
 4609.5673 21687.9350  25      Ar  II    N73    2
 4628.4409 21599.4985  12      Ar   I    N73    4
 4637.2328 21558.5479  17      Ar  II    N73    4
 4657.9012 21462.8879  24      Ar  II    N73    3
 4702.3161 21260.1671  14      Ar   I    N73    4
 4703.3581 21255.457   11      Ar  II    N73
 4710.8238 21221.7721   6      Ar  II    N73
 4721.5910 21173.3780  15      Ar  II    N73
 4726.8683 21149.7395  25      Ar  II    N73    2
 4732.0532 21126.5663  18      Ar  II    N73    3
 4735.9058 21109.3800  23      Ar  II    N73    3
 4757.2196 21014.8050   5      Ar  II    N73
 4764.8646 20981.0886  26      Ar  II    N73    1
 4792.0819 20861.9252  11      Ar  II    N73
 4806.0205 20801.4214  25      Ar  II    N73    2
 4847.8095 20622.1118  21      Ar  II    N73    3
 4865.9105 20545.4000  18      Ar  II    N73
 4867.5560 20538.4542  10      Ar  II    N73
 4879.8635 20486.6548  26      Ar  II    N73    1
 4882.2432 20476.6700  12      Ar  II    N73
 4888.2612 20451.4607   8      Ar  II    N73
 4889.0422 20448.1938  19      Ar  II    N73    3
 4904.7516 20382.7013  15      Ar  II    N73
 4933.2091 20265.1240  17      Ar  II    N73    4
 4965.0795 20135.0456  22      Ar  II    N73    2
 4972.1597 20106.3743  13      Ar  II    N73    4 
 5009.3344 19957.1654  18      Ar  II    N73    4
 5017.1628 19926.0261  19      Ar  II    N73    3
 5062.0371 19749.3865  19      Ar  II    N73    3
 5090.4951 19638.9808  15      Ar  II    N73    4
 5118.2023 19532.6672   6      Ar   I    N73
 5125.7654 19503.8470  13      Ar  II    N73    4
 5141.7827 19443.0907  20      Ar  II    N73    3
 5145.3083 19429.7686  19      Ar  II    N73    4
 5162.2846 19365.8741  14      Ar   I    N73    4
 5165.7728 19352.7974  16      Ar  II    N73
 5176.2292 19313.7036  13      Ar  II    N73
 5187.7462 19270.8269  15      Ar   I    N73    4
 5216.8139 19163.4527  15      Ar  II    N73
 5221.2710 19147.0938  12      Ar   I    N73    4
 5245.3781 19059.0970   8      Ar  II    N73
 5254.4648 19026.1384   7      Ar   I    N73
 5264.7824 18988.8523  10      Ar  II    N73
 5281.6285 18928.2868  11      Ar  II    N73
 5286.8870 18909.4606  12      Ar  II    N73
 5329.6979 18757.572    9      Ar  II    N73
 5373.4943 18604.6910   7      Ar   I    N73
 5393.5995 18535.3407   9      Ar  II    N73
 5397.5160 18521.8912  13      Ar  II    N73
 5402.6048 18504.4455  12      Ar  II    N73
 5407.3439 18488.2280  13      Ar  II    N73
 5421.3517 18440.4582  11      Ar   I    N73    4
 5439.9891 18377.2818   9      Ar   I    N73
 5442.2477 18369.6553   5      Ar   I    N73
 5443.6893 18364.7906   9      Ar  II    N73
 5451.6520 18337.9674  13      Ar   I    N73    4
 5490.1194 18209.4810   5      Ar   I    N73
 5495.8738 18190.4150  16      Ar   I    N73    3
 5498.1841 18182.7716  10      Ar  II    N73
 5506.1128 18156.5890  11      Ar   I    N73
 5514.3760 18129.3820   8      Ar  II    N73
 5524.9570 18094.6622   9      Ar   I    N73
 5545.0495 18029.0970   9      Ar  II    N73
 5558.7020 17984.8169  16      Ar   I    N73    2
 5577.6845 17923.6098  12      Ar  II    N73    4
 5597.4756 17860.2377   8      Ar   I    N73
 5601.1216 17848.6119   6      Ar   I    N73
 5606.7330 17830.7485  17      Ar   I    N73    2
 5620.9213 17785.7405   3      Ar   I    N73
 5625.6782 17770.7017   8      Ar  II    N73
 5648.6863 17698.3191   7      Ar   I    N73
 5650.7043 17691.9987  15      Ar   I    N73    3
 5659.1272 17665.6669   7      Ar   I    N73
 5681.9001 17594.8641   9      Ar   I    N73    4
 5691.6612 17564.6895  11      Ar  II    N73    4
 5739.5196 17418.2296  13      Ar   I    N73    4
 5772.1143 17319.8709   9      Ar   I    N73
 5802.0798 17230.4215   9      Ar   I    N73    4
 5812.7592 17198.7655  11      Ar  II    N73    4
 5834.2633 17135.3743  11      Ar   I    N73    4
 5860.3103 17059.2144  13      Ar   I    N73    4
 5882.6242 16994.5061  14      Ar   I    N73    4
 5888.5841 16977.3061  16      Ar   I    N73    3
 5912.0853 16909.8198  18      Ar   I    N73    2
 5927.1258 16866.9105   8      Ar   I    N73
 5928.8130 16862.1105  14      Ar   I    N73    3
 5942.6686 16822.7961  11      Ar   I    N73    4
 5949.2583 16804.1624   6      Ar   I    N73    4
 5964.4723 16761.2990   5      Ar   I    N73
 5968.3199 16750.4938   6      Ar   I    N73
 5971.6008 16741.2910   8      Ar   I    N73
 5987.3016 16697.3899  12      Ar   I    N73    4
 5998.9987 16664.8328  11      Ar   I    N73    4
 6005.7242 16646.1709   7      Ar   I    N73
 6013.6777 16624.1555  10      Ar   I    N73    4
 6025.1500 16592.5023  11      Ar   I    N73    4
 6032.1274 16573.3098  19      Ar   I    N73    1
 6043.2233 16542.8799  17      Ar   I    N73    3
 6046.8977 16532.8278  10      Ar  II    N73
 6052.7229 16516.9164  13      Ar   I    N73    4
 6059.3725 16498.7908  15      Ar   I    N73    3
 6064.7508 16484.1595   6      Ar   I    N73
 6081.2433 16439.4545   4      Ar   I    N73
 6085.8797 16426.9306   3      Ar   I    N73
 6090.7848 16413.7016   8      Ar   I    N73
 6098.8031 16392.1220  12      Ar   I    N73    4
 6101.1615 16385.7859   5      Ar   I    N73
 6105.6351 16373.7801  13      Ar   I    N73    4
 6113.4657 16352.8076   6      Ar   I    N73
 6114.9234 16348.9093  21      Ar  II    N73    1
 6123.3619 16326.3793  12      Ar  II    N73    4
 6127.4160 16315.5772   9      Ar   I    N73    4
 6145.4411 16267.7227  13      Ar   I    N73    4
 6155.2385 16241.8293  10      Ar   I    N73    4
 6165.1232 16215.7886   6      Ar   I    N73
 6170.1740 16202.5148  12      Ar   I    N73
 6172.2778 16196.9922  20      Ar  II    N73    1
 6173.0964 16194.8443  13      Ar   I    N73
 6187.1350 16158.0986   9      Ar  II    N73
 6201.1002 16121.7101   9      Ar  II    N73    4
 6212.5031 16092.1193  13      Ar   I    N73    4
 6215.9383 16083.2260  11      Ar   I    N73
 6239.7121 16021.9482   8      Ar  II    N73
 6243.1201 16013.2022  16      Ar  II    N73    4
 6248.4055 15999.6570   8      Ar   I    N73
 6278.6453 15922.5986   4      Ar   I    N73
 6296.8722 15876.5096  12      Ar   I    N73    3
 6307.6570 15849.3643  14      Ar   I    N73    3
 6309.1600 15845.5886   7      Ar   I    N73
 6324.4163 15807.3649  11      Ar  II    N73    4
 6333.1459 15785.5760   9      Ar  II    N73
 6348.2321 15748.0630   9      Ar  II    N73
 6357.0229 15726.2859   9      Ar  II    N73
 6357.6779 15724.6660   8      Ar  II    N73
 6364.8937 15706.8389   9      Ar   I    N73
 6369.5748 15695.2959  12      Ar   I    N73    4
 6384.7169 15658.0728  15      Ar   I    N73    2
 6393.7972 15635.8360   9      Ar  II    N73
 6394.7289 15633.558    8      Ar  II    N73
 6399.2065 15622.6189  11      Ar  II    N73
 6403.0128 15613.3320  10      Ar  II    N73
 6408.9035 15598.9810   9      Ar  II    N73
 6416.3071 15580.9822  19      Ar   I    N73    1
 6418.3703 15575.9740  10      Ar  II    N73
 6422.8969 15564.9960  10      Ar  II    N73
 6431.5550 15544.0431   9      Ar   I    N73
 6437.6003 15529.4465  10      Ar  II    N73
 6441.8994 15519.0827  11      Ar  II    N73
 6443.8598 15514.3615  11      Ar  II    N73
 6466.5526 15459.9179   9      Ar   I    N73    4
 6483.0825 15420.5001  16      Ar  II    N73    3
 6493.9694 15394.6485   7      Ar   I    N73
 6499.1061 15382.4811   4      Ar   I    N73
 6501.3608 15377.146    6      Ar  II    N73
 6513.8462 15347.6725   4      Ar   I    N73
 6538.1120 15290.7110  14      Ar   I    N73    3
 6596.1141 15156.2551   6      Ar   I    N73
 6598.6778 15150.3666   3      Ar   I    N73
 6604.8534 15136.2011  14      Ar   I    N73    3
 6620.9665 15099.3650   8      Ar  II    N73
 6632.0837 15074.0546   6      Ar   I    N73    4
 6638.2207 15060.1188  16      Ar  II    N73
 6639.7403 15056.6721  15      Ar  II    N73
 6643.6976 15047.7038  18      Ar  II    N73    3
 6656.9386 15017.7732   4      Ar   I    N73
 6660.6761 15009.3463  11      Ar   I    N73
 6664.0510 15001.7451  11      Ar   I    N73
 6666.3588 14996.5518  16      Ar  II    N73    3
 6677.2817 14972.0201  20      Ar   I    N73    2
 6684.2929 14956.3160  17      Ar  II    N73    3
 6719.2184 14878.5760  10      Ar   I    N73
 6722.8899 14870.4504   5      Ar   I    N73
 6752.8335 14804.5119  21      Ar   I    N73    2
 6766.6117 14774.3672  14      Ar   I    N73    3
 6808.5311 14683.4035   9      Ar  II    N73
 6827.2488 14643.1477  10      Ar   I    N73
 6851.8842 14590.4996   6      Ar   I    N73
 6861.2688 14570.5435  15      Ar  II    N73
 6863.5350 14565.7327  11      Ar  II    N73
 6871.2891 14549.2956  21      Ar   I    N73    3
 6879.5824 14531.7566  11      Ar   I    N73    4
 6887.0881 14515.9198  10      Ar   I    N73
 6888.1742 14513.6310  13      Ar   I    N73    4
 6925.0094 14436.4312   7      Ar   I    N73
 6937.6642 14410.0983  18      Ar   I    N73    4
 6951.4776 14381.4639  12      Ar   I    N73    4
 6960.2500 14363.3382  12      Ar   I    N73
 6965.4307 14352.6553  33      Ar   I    N73    2
 6992.2126 14297.6815  10      Ar   I    N73
 7025.2251 14230.4950   6      Ar   I    N73
 7030.2514 14220.3209  21      Ar   I    N73    4
 7067.2181 14145.9389  33      Ar   I    N73    2
 7068.7358 14142.9015  20      Ar   I    N73
 7086.7044 14107.0419  10      Ar   I    N73
 7107.4778 14065.8109  16      Ar   I    N73    4
 7125.8200 14029.6051  16      Ar   I    N73    4
 7147.0416 13987.9474  27      Ar   I    N73    3
 7158.8387 13964.8968  14      Ar   I    N73    4
 7162.5569 13957.6473   8      Ar   I    N73
 7202.5166 13880.2105   5      Ar   I    N73
 7206.9804 13871.6136  19      Ar   I    N73    4
 7229.9386 13827.5654   9      Ar   I    N73
 7233.5365 13820.6877  14      Ar  II    N73
 7265.1724 13760.5065  14      Ar   I    N73    4
 7270.6636 13750.1138  12      Ar   I    N73
 7272.9359 13745.8178  29      Ar   I    N73    3
 7285.4437 13722.2190  10      Ar   I    N73
 7311.7159 13672.9130  17      Ar   I    N73    4
 7316.0050 13664.8972  16      Ar   I    N73
 7345.3996 13610.2137   5      Ar   I    N73
 7348.0530 13605.2991   9      Ar  II    N73
 7350.8140 13600.1888  11      Ar   I    N73
 7353.2930 13595.6038  19      Ar   I    N73    4
 7372.1184 13560.8865  22      Ar   I    N73    4
 7380.4263 13545.6210  15      Ar  II    N73
 7383.9805 13539.1014  33      Ar   I    N73    2
 7392.9801 13522.6202  15      Ar   I    N73    4
 7412.3368 13487.3071  14      Ar   I    N73    4
 7422.3118 13469.1814   8      Ar   I    N73
 7425.2942 13463.7716  13      Ar   I    N73    4
 7435.3683 13445.5297  16      Ar   I    N73    4
 7436.2970 13443.8506  13      Ar   I    N73
 7440.4933 13436.2684   7      Ar  II    N73
 7471.1641 13381.1099  10      Ar   I    N73    4
 7484.3267 13357.5769   9      Ar   I    N73    4
 7500.6556 13328.4976   6      Ar   I    N73
 7503.8691 13322.7897  35      Ar   I    N73    1
 7510.4082 13311.1900   7      Ar   I    N73
 7514.6518 13303.6731  34      Ar   I    N73    2
 7589.3151 13172.793   13      Ar  II    N73    4
 7618.3443 13122.5992   5      Ar   I    N73
 7628.8818 13104.4735   6      Ar   I    N73
 7635.1060 13093.7906  36      Ar   I    N73    1
 7670.0575 13034.1243   7      Ar   I    N73    4
 7704.8169 12975.3226   4      Ar   I    N73
 7723.7611 12943.4979  34      Ar   I    N73
 7724.2072 12942.7504  33      Ar   I    N73
 7798.5604 12819.3521   5      Ar   I    N73
 7814.3230 12793.4938   3      Ar   I    N73
 7861.9100 12716.0570   3      Ar   I    N73
 7868.1946 12705.9003   6      Ar   I    N73
 7891.0750 12669.0593  13      Ar   I    N73    4
 7916.4420 12628.4635   4      Ar   I    N73
 7948.1764 12578.0425  35      Ar   I    N73    3
 7956.9740 12564.1358   6      Ar   I    N73
 8006.1567 12486.9532  35      Ar   I    N73    3
 8014.7857 12473.5094  36      Ar   I    N73    2
 8017.5275 12469.2438   2      Ar  II    N73
 8037.2183 12438.6949   6      Ar   I    N73
 8046.1169 12424.9384   8      Ar   I    N73
 8053.3085 12413.8430  12      Ar   I    N73    4
 8094.0559 12351.3490   6      Ar   I    N73
 8103.6931 12336.6604  35      Ar   I    N73    2
 8115.3110 12318.9994  37      Ar   I    N73    1
 8119.1811 12313.1273   7      Ar   I    N73
 8264.5225 12096.5874  33      Ar   I    N73    3
 8384.7240 11923.1743   8      Ar   I    N73
 8408.2096 11889.8710  34      Ar   I    N73    2
 8424.6475 11866.6719  35      Ar   I    N73    2
 8490.3065 11774.9026   7      Ar   I    N73
 8521.4422 11731.8795  34      Ar   I    N73    3
 8604.0163 11619.2873   6      Ar  II    N73
 8605.7762 11616.9111  12      Ar   I    N73    4
 8620.4602 11597.1231  10      Ar   I    N73    4
 8667.9442 11533.5930  31      Ar   I    N73    2
 8678.4083 11519.6862   4      Ar   I    N73
 8761.6862 11410.1946  10      Ar   I    N73    4
 8771.8602 11396.9606  15      Ar  II    N73
 8799.0875 11361.6948   8      Ar   I    N73    4
 8899.2971 11233.7582   3      Ar  II    N73
 8905.6581 11225.7340   6      Ar  II    N73
 8920.2012 11207.4324   2      Ar  II    N73
 8962.1468 11154.9783  10      Ar   I    N73
 8968.9461 11146.5219   4      Ar  II    N73
 9008.4636 11097.6260   6      Ar  II    N73
 9017.5912 11086.3925   7      Ar  II    N73
 9035.9195 11063.9050   3      Ar  II    N73
 9068.0230 11024.7359   5      Ar  II    N73
 9075.3945 11015.7810  15      Ar   I    N73
 9122.9674 10958.3381  37      Ar   I    N73     1
 9159.0346 10915.1855   2      Ar  II    N73
 9192.5937 10875.3379   3      Ar  II    N73
 9194.6385 10872.9194  25      Ar   I    N73     4
 9224.4992 10837.7228  34      Ar   I    N73     2
 9279.7085 10773.2443   4      Ar  II    N73
 9291.5313 10759.5362  24      Ar   I    N73     4
 9354.2198 10687.4300  28      Ar   I    N73     3
 9508.4513 10514.0756   3      Ar  II    N73
 9535.6566 10484.079    3      Ar  II    N73
 9641.1951 10369.314    2      Ar  II    N73
 9657.7863 10351.5006  36      Ar   I    N73     2
 9713.1103 10292.5406   2      Ar  II    N73
 9739.7704 10264.3676   2      Ar  II    N73
 9784.5028 10217.4415  31      Ar   I    N73     3
 9837.1669 10162.7418   3      Ar  II    N73
 9906.3907 10091.7268   5      Ar  II    N73
 9952.8033 10044.667    5      Ar  II    N73
10022.2836  9975.0313   4      Ar  II    N73
10273.6965  9730.928    5      Ar  II    N73
10470.0535  9548.4331  28      Ar   I    N73
