# units Angstroms
  wave_air     wn          int     kl    Jl   ku     Ju  note element ion source 
 3297.8333 30314.2102    5.132   39552  4.5   9238  4.5 107.2      Th  II   PE83
 3298.0499 30312.2198   12.607    4961  4    35273  5   103.2      Th   I   PE83
 3299.6687 30297.3486    6.152   56945  5.5  26647  6.5 113.6      Th  II   PE83
 3301.6511 30279.1578   32.212    4961  4    35240  3   104.2      Th   I   PE83
 3304.2384 30255.4500  144.229       0  2    30255  3   107.4      Th   I   PE83
 3305.3036 30245.6993   12.596    3865  1    34111  1   103.5      Th   I   PE83
 3308.4740 30216.7168    1.272                          113.9      Th       PE83
 3309.3655 30208.5778   31.526       0  2    30208  2   103.2      Th   I   PE83
 3310.1988 30200.9728   15.433                          104.0      Th       PE83
 3313.6784 30169.2606   17.242   34996  2     4826  3   104.8      Th III   PE83
 3314.8269 30158.8088    6.454    8605  2.5  38764  3.5 104.1      Th  II   PE83
 3319.9102 30112.6324    7.385    3687  2    33800  3   105.3      Th   I   PE83
 3320.3004 30109.0929    8.791   36809  3.5   6700  4.5 105.9      Th  II   PE83
 3320.4763 30107.4982   11.352    2558  0    32665  1   103.5      Th   I   PE83
 3321.4508 30098.6649   21.679    4113  2.5  34212  2.5 105.9      Th  II   PE83
 3321.5742 30097.5475    9.699   37892  4     7795  4   102.5      Th   I   PE83
 3322.0933 30092.8441    7.654    2558  0    32650  1   104.4      Th   I   PE83
 3324.7527 30068.7744   25.067    1859  1.5  31928  1.5 105.2      Th  II   PE83
 3325.1208 30065.4463   65.620    4146  3.5  34212  2.5 104.1      Th  II   PE83
 3326.4653 30053.2947    2.918   34543  2.5   4490  2.5 106.5      Th  II   PE83
 3327.1932 30046.7200   15.047    3687  2    33734  2   108.3      Th   I   PE83
 3329.7284 30023.8434    7.346   37819  4     7795  4   104.0      Th   I   PE83
 3330.4770 30017.0950  104.859       0  2    30017  3   104.3      Th   I   PE83
 3333.1290 29993.2128   48.291    2869  3    32862  4   102.6      Th   I   PE83
 3334.6041 29979.9452   26.548    6213  4.5  36193  4.5 106.2      Th  II   PE83
 3335.0640 29975.8117    5.083    8460  1.5  38436  1.5 109.3      Th  II   PE83
 3336.1618 29965.9476    1.132   44450  4.5  14484  5.5 106.9      Th  II   PE83
 3337.8704 29950.6096   24.573    1859  1.5  31810  2.5 104.2      Th  II   PE83
 3338.3971 29945.8845    3.956   37277  3.5   7331  2.5 105.2      Th  II   PE83
 3340.7255 29925.0136    6.767    4961  4    34886  5   103.7      Th   I   PE83
 3343.1644 29903.1830    3.623    3687  2    33591  3   105.1      Th   I   PE83
 3343.6183 29899.1234    6.462   47171  4.5  17272  4.5 105.9      Th  II   PE83
 3345.1709 29885.2471    2.316    2869  3    32754  3   101.9      Th   I   PE83
 3345.8804 29878.9099    7.364                          225.4      Th       PE83
 3346.5560 29872.8784    5.468   39458  3.5   9585  2.5 105.4      Th  II   PE83
 3346.9648 29869.2296    2.152    3865  1    33734  2   102.4      Th   I   PE83
 3347.9923 29860.0631    2.043                          103.8      Th       PE83
 3348.7685 29853.1427   93.813       0  2    29853  2   105.3      Th   I   PE83
 3350.3514 29839.0380    2.396    8111  4    37950  4   105.8      Th   I   PE83
 3351.2286 29831.2280   51.992    1521  2.5  31353  1.5 103.9      Th  II   PE83
 3353.9485 29807.0374    2.935   40923  2.5  11116  3.5 106.7      Th  II   PE83
 3354.1796 29804.9835   13.108   10379  4.5  40184  3.5 104.9      Th  II   PE83
 3354.6185 29801.0840    4.237   38179  4.5   8378  3.5 107.1      Th  II   PE83
 3355.1061 29796.7530   10.425    3865  1    33662  1   109.6      Th   I   PE83
 3355.2587 29795.3980    3.997   40367  4.5  10572  4.5 112.9      Th  II   PE83
 3358.6020 29765.7395   36.073    1859  1.5  31625  0.5 104.3      Th  II   PE83
 3359.7569 29755.5081    1.773    4146  3.5  33902  3.5 109.5      Th  II   PE83
 3360.3736 29750.0478    3.764   39939  5.5  10189  5.5 108.7      Th  II   PE83
 3360.9982 29744.5185   18.252       0  2    29744  3   103.8      Th   I   PE83
 3361.1979 29742.7517    6.854    4961  4    34704  3   101.7      Th   I   PE83
 3361.6190 29739.0262    7.409   17727  5.5  47466  5.5 107.4      Th  II   PE83
 3361.7367 29737.9850    6.704   39458  3.5   9720  3.5 104.5      Th  II   PE83
 3362.6763 29729.6761    4.355    4113  2.5  33843  1.5 108.1      Th  II   PE83
 3364.6856 29711.9229    5.297   42200  4.5  12488  4.5 105.9      Th  II   PE83
 3365.1376 29707.9319    4.902   40904  5    11197  5   102.6      Th   I   PE83
 3365.3384 29706.1597   18.387    2869  3    32575  2   103.3      Th   I   PE83
 3366.5172 29695.7583    7.491   13248  4.5  42944  3.5 106.2      Th  II   PE83
 3367.5822 29686.3666   11.210       0  2    29686  3   103.4      Th   I   PE83
 3367.8190 29684.2800   13.951   34174  2.5   4490  2.5 104.8      Th  II   PE83
 3371.7968 29649.2617   22.558   12570  3.5  42219  2.5 150.3      Th  II   PE83
 3372.8230 29640.2403   12.147                          117.8      Th       PE83
 3373.4926 29634.3580   23.568    2869  3    32503  2   101.8      Th   I   PE83
 3374.5814 29624.7961    6.123   38862  5.5   9238  4.5 105.9      Th  II   PE83
 3374.9749 29621.3426   46.542    4961  4    34583  3   104.0      Th   I   PE83
 3378.5734 29589.7942   17.557    8018  1.5  37607  0.5 105.7      Th  II   PE83
 3380.8595 29569.7860   24.159    2869  3    32439  4   103.6      Th   I   PE83
 3383.1068 29550.1445    5.034   16818  3.5  46368  4.5 106.0      Th  II   PE83
 3385.5316 29528.9807   13.504   34019  1.5   4490  2.5 104.5      Th  II   PE83
 3386.5007 29520.5312   12.175    9061  2.5  38581  2.5 104.5      Th  II   PE83
 3387.9206 29508.1594    8.353   37303  4     7795  4   102.7      Th   I   PE83
 3389.4633 29494.7292   18.682    8111  4    37605  4   103.1      Th   I   PE83
 3389.6405 29493.1867   17.939    1859  1.5  31353  1.5 105.0      Th  II   PE83
 3390.3681 29486.8576    9.801                          104.5      Th       PE83
 3391.8713 29473.7902   16.065    3687  2    33161  1   102.8      Th   I   PE83
 3392.0350 29472.3683  109.220    1521  2.5  30994  3.5 104.1      Th  II   PE83
 3393.4215 29460.3264    3.173    8111  4    37571  5   103.7      Th   I   PE83
 3393.9930 29455.3662    3.067   43937  6    14481  6   104.1      Th   I   PE83
 3394.7970 29448.3899    5.015   47171  4.5  17722  4.5 108.5      Th  II   PE83
 3396.7278 29431.6512   40.731    3865  1    33297  2   102.7      Th   I   PE83
 3397.5161 29424.8225   84.772    2869  3    32294  4   102.9      Th   I   PE83
 3398.5449 29415.9159   77.470    2869  3    32285  3   102.3      Th   I   PE83
 3401.7110 29388.5375    9.927    7280  2    36668  2   102.7      Th   I   PE83
 3402.0264 29385.8133    5.091    8460  1.5  37846  2.5 107.9      Th  II   PE83
 3402.6953 29380.0371   37.888    6213  4.5  35593  3.5 118.0      Th  II   PE83
 3404.6509 29363.1621    2.624   39552  4.5  10189  5.5 106.2      Th  II   PE83
 3405.5584 29355.3376   40.113    3687  2    33043  3   102.9      Th   I   PE83
 3406.2418 29349.4477    3.608   36040  0.5   6691  1.5 105.1      Th  II   PE83
 3407.8302 29335.7687    3.306   37131  3     7795  4   122.3      Th   I   PE83
 3408.7499 29327.8540   45.759    2869  3    32197  3   103.8      Th   I   PE83
 3409.2699 29323.3806    4.839   39895  4.5  10572  4.5 106.3      Th  II   PE83
 3410.0757 29316.4522    4.045    6362  2    35678  1   106.0      Th   I   PE83
 3413.0131 29291.2218   48.748    2869  3    32160  2   103.2      Th   I   PE83
 3415.8846 29266.5988    7.536    3687  2    32954  2   103.7      Th   I   PE83
 3417.4978 29252.7846   14.774       0  2    29252  2   102.3      Th   I   PE83
 3418.7755 29241.8521   13.529   19880  4.5  49121  3.5 106.6      Th  II   PE83
 3419.1733 29238.4502    9.744   42644  6.5  13406  6.5 105.3      Th  II   PE83
 3421.2100 29221.0446  109.679    4961  4    34182  5   102.8      Th   I   PE83
 3422.6561 29208.6990   23.400    7280  2    36488  2   103.0      Th   I   PE83
 3423.1291 29204.6633    4.365                          107.7      Th       PE83
 3423.9897 29197.3230  105.636       0  2    29197  1   102.8      Th   I   PE83
 3425.4348 29185.0055    1.424   40426  4    11241  3   107.7      Th   I   PE83
 3425.9436 29180.6715    2.999    9400  2.5  38581  2.5 106.8      Th  II   PE83
 3427.0924 29170.8904    4.777    6362  2    35533  2   103.7      Th   I   PE83
 3428.6222 29157.8751   11.741       0  2    29157  3   102.9      Th   I   PE83
 3428.7144 29157.0905   14.866       0  2    29157  1   109.0      Th   I   PE83
 3428.9992 29154.6693   50.688    2558  0    31712  1   102.5      Th   I   PE83
 3430.4175 29142.6156     .642                          117.4      Th       PE83
 3431.8105 29130.7870    4.421   20158  2.5  49289  2.5 106.6      Th  II   PE83
 3433.9988 29112.2234   47.888    1859  1.5  30972  2.5 102.7      Th  II   PE83
 3434.7271 29106.0507    5.354   39520  4    10414  4   107.0      Th   I   PE83
 3435.9771 29095.4624   57.947       0  1.5  29095  2.5 104.0      Th  II   PE83
 3436.7272 29089.1126   41.481    3865  1    32954  2   102.9      Th   I   PE83
 3437.3071 29084.2051  151.109    2869  3    31953  4   102.9      Th   I   PE83
 3438.9503 29070.3082   13.981   13248  4.5  42319  4.5 114.2      Th  II   PE83
 3439.3988 29066.5182   21.870    3687  2    32754  3   103.2      Th   I   PE83
 3439.7118 29063.8729   21.075   10379  4.5  39442  4.5 103.7      Th  II   PE83
 3441.0359 29052.6892    3.773    9711  3.5  38764  3.5 106.8      Th  II   PE83
 3441.3647 29049.9139    4.385   35741  2.5   6691  1.5 105.7      Th  II   PE83
 3441.5268 29048.5457    2.482    8111  4    37159  3   105.7      Th   I   PE83
 3442.5790 29039.6673   21.162    4961  4    34001  4   101.4      Th   I   PE83
 3445.2173 29017.4301    5.889   10379  4.5  39396  3.5 103.8      Th  II   PE83
 3445.7442 29012.9933    5.827   43803  3.5  14790  3.5 114.9      Th  II   PE83
 3446.5475 29006.2313    6.017    4961  4    33967  3   114.7      Th   I   PE83
 3448.9487 28986.0369    3.397   36781  5     7795  4   103.9      Th   I   PE83
 3449.2871 28983.1936    3.714   52170  5.5  23187  6.5 120.4      Th  II   PE83
 3449.6448 28980.1882    4.359   39552  4.5  10572  4.5 112.7      Th  II   PE83
 3451.7024 28962.9135   30.491    3687  2    32650  1   103.6      Th   I   PE83
 3452.6821 28954.6955    6.898    6244  0.5  35198  0.5 104.2      Th  II   PE83
 3455.6131 28930.1373    4.080    8111  4    37041  4   102.5      Th   I   PE83
 3457.0692 28917.9526   18.670       0  2    28917  2   104.9      Th   I   PE83
 3461.0187 28884.9540  128.877       0  2    28884  3   102.9      Th   I   PE83
 3461.2173 28883.2969   90.546    4961  4    33844  5   101.4      Th   I   PE83
 3462.8506 28869.6740   15.902    9711  3.5  38581  2.5 104.5      Th  II   PE83
 3463.7197 28862.4300    6.780   13250  2.5  42112  1.5 105.4      Th  II   PE83
 3465.0626 28851.2444    3.703   37094  2     8243  2   101.4      Th   I   PE83
 3465.7650 28845.3973   23.387   35545  4.5   6700  4.5 103.5      Th  II   PE83
 3466.5386 28838.9607   23.060    4961  4    33800  3   103.2      Th   I   PE83
 3466.6459 28838.0680   36.961    4961  4    33799  4   104.5      Th   I   PE83
 3468.2198 28824.9815   21.962   35525  5.5   6700  4.5 102.3      Th  II   PE83
 3469.3455 28815.6293   64.916    3687  2    32503  2   101.7      Th   I   PE83
 3469.9208 28810.8515   69.128    4146  3.5  32957  3.5 103.2      Th  II   PE83
 3470.5675 28805.4832    7.887    8800  4    37605  4   101.8      Th   I   PE83
 3471.0005 28801.8895    8.028    2869  3    31671  4   101.4      Th   I   PE83
 3471.2186 28800.0803   33.444    3865  1    32665  1   102.7      Th   I   PE83
 3471.9593 28793.9360   10.135    7280  2    36074  3   102.1      Th   I   PE83
 3476.3852 28757.2787    3.606   39283  4    10526  3   103.8      Th   I   PE83
 3477.7043 28746.3718    3.073   44096  4.5  15349  5.5 105.5      Th  II   PE83
 3478.4635 28740.0972    2.861   42146  5.5  13406  6.5 105.3      Th  II   PE83
 3479.1726 28734.2404    9.662   35425  0.5   6691  1.5 104.4      Th  II   PE83
 3479.6847 28730.0113    7.151    2869  3    31599  2   102.0      Th   I   PE83
 3480.0525 28726.9749    6.259    8111  4    36837  5   103.6      Th   I   PE83
 3482.5482 28706.3892    2.840   38291  3.5   9585  2.5 105.2      Th  II   PE83
 3482.7613 28704.6328    4.622    1859  1.5  30564  0.5 101.9      Th  II   PE83
 3484.0800 28693.7685    2.108   39366  2.5  10673  2.5 100.9      Th  II   PE83
 3485.2124 28684.4457    3.765   37063  4.5   8378  3.5 103.8      Th  II   PE83
 3486.5512 28673.4317   77.333       0  2    28673  2   101.6      Th   I   PE83
 3487.8437 28662.8065    1.786   43807  1.5  15144  1.5 110.7      Th  II   PE83
 3488.8339 28654.6718    6.560    2869  3    31523  3   101.9      Th   I   PE83
 3489.1842 28651.7951    7.454    8111  4    36762  3   103.6      Th   I   PE83
 3489.5076 28649.1394   12.118       0  2    28649  1   102.7      Th   I   PE83
 3490.4525 28641.3843    2.325   43965  0.5  15324  0.5 105.6      Th  II   PE83
 3491.9001 28629.5112    4.250    4961  4    33591  3   102.7      Th   I   PE83
 3493.2513 28618.4369    5.849                          104.9      Th       PE83
 3493.5185 28616.2480    8.299    7828  0.5  36444  1.5 104.5      Th  II   PE83
 3495.6998 28598.3921   23.403    4961  4    33560  4   101.2      Th   I   PE83
 3496.0604 28595.4424    4.567                          101.3      Th       PE83
 3496.8107 28589.3072   35.822       0  2    28589  3   101.1      Th   I   PE83
 3497.2629 28585.6110    1.905   37787  3.5   9202  3.5 104.5      Th  II   PE83
 3498.0098 28579.5071    8.148    1521  2.5  30101  3.5 105.4      Th  II   PE83
 3498.6210 28574.5146   25.886   36818  2     8243  2   101.6      Th   I   PE83
 3499.6829 28565.8443     .737                          152.6      Th       PE83
 3499.8218 28564.7109    1.759   36808  3     8243  2   105.6      Th   I   PE83
 3499.9867 28563.3656    6.215    8018  1.5  36581  1.5 103.4      Th  II   PE83
 3500.1033 28562.4140    3.091                          104.5      Th       PE83
 3501.4559 28551.3801    5.855   38740  5.5  10189  5.5 103.2      Th  II   PE83
 3501.8667 28548.0315    6.850    5563  1    34111  1   104.3      Th   I   PE83
 3502.9637 28539.0910    1.481   38953  5    10414  4   109.0      Th   I   PE83
 3503.6145 28533.7905    3.122   42352  2.5  13818  3.5  92.2      Th  II   PE83
 3503.7860 28532.3939   10.154    7280  2    35812  3   101.6      Th   I   PE83
 3505.4941 28518.4910    3.320   42336  2.5  13818  3.5 103.1      Th  II   PE83
 3506.1328 28513.2964    2.505       0  2    28513  2   103.9      Th   I   PE83
 3506.6458 28509.1252    2.090    3687  2    32197  3   103.3      Th   I   PE83
 3507.5464 28501.8054   13.108   33562  3     5060  3   103.1      Th III   PE83
 3509.0889 28489.2771    4.744    6362  2    34851  2   103.1      Th   I   PE83
 3511.1575 28472.4934   20.545    3687  2    32160  2   101.3      Th   I   PE83
 3511.5620 28469.2134   10.876   32959  1.5   4490  2.5 108.0      Th  II   PE83
 3512.7425 28459.6459    2.216   38179  4.5   9720  3.5 103.6      Th  II   PE83
 3514.9621 28441.6753    2.510   37679  5.5   9238  4.5 105.3      Th  II   PE83
 3516.3545 28430.4133    3.284                          117.2      Th       PE83
 3516.8243 28426.6155    2.995    8018  1.5  36444  1.5 105.3      Th  II   PE83
 3518.4040 28413.8527   42.181    2869  3    31283  3   101.3      Th   I   PE83
 3518.8858 28409.9628    5.079   36653  2     8243  2   103.0      Th   I   PE83
 3521.0595 28392.4246   14.711    3687  2    32080  1   102.4      Th   I   PE83
 3521.9139 28385.5365    9.547   10379  4.5  38764  3.5 124.7      Th  II   PE83
 3523.5062 28372.7099   13.214       0  2    28372  1   104.6      Th   I   PE83
 3523.7585 28370.6777    4.610    2558  0    30928  1   101.5      Th   I   PE83
 3524.1787 28367.2952    1.862   43857  5    15490  5   110.4      Th   I   PE83
 3524.7091 28363.0269    2.540    6362  2    34725  3   102.7      Th   I   PE83
 3526.6342 28347.5446   16.128       0  2    28347  2   101.3      Th   I   PE83
 3527.0005 28344.6005    3.809                          105.7      Th       PE83
 3527.3224 28342.0142    4.162    6362  2    34704  3   107.1      Th   I   PE83
 3528.4117 28333.2648    6.700    4961  4    33294  3   103.7      Th   I   PE83
 3528.8202 28329.9847    5.597   35021  1.5   6691  1.5 104.1      Th  II   PE83
 3528.9544 28328.9074   12.380   38517  6.5  10189  5.5 102.9      Th  II   PE83
 3529.3860 28325.4434    6.140    2869  3    31194  4   109.7      Th   I   PE83
 3530.5148 28316.3872   18.965    8111  4    36427  3   102.3      Th   I   PE83
 3531.4506 28308.8840   18.906    4961  4    33270  4   101.3      Th   I   PE83
 3533.1826 28295.0066    2.174    3865  1    32160  2   108.0      Th   I   PE83
 3536.0108 28272.3764    5.858   36515  3     8243  2   103.6      Th   I   PE83
 3537.1598 28263.1930    6.091   37465  2.5   9202  3.5 103.8      Th  II   PE83
 3539.3223 28245.9245   17.022   32736  3.5   4490  2.5 102.8      Th  II   PE83
 3539.5873 28243.8101   72.097       0  1.5  28243  2.5 102.4      Th  II   PE83
 3539.8401 28241.7930    5.477   36485  2     8243  2   102.3      Th   I   PE83
 3541.6159 28227.6325    2.427    8460  1.5  36687  2.5 107.3      Th  II   PE83
 3542.4979 28220.6049    9.319    6362  2    34583  3   101.6      Th   I   PE83
 3544.0180 28208.5011   20.669    8800  4    37008  5   100.8      Th   I   PE83
 3545.2852 28198.4186    5.815    1521  2.5  29720  1.5 102.7      Th  II   PE83
 3547.3377 28182.1034   16.003    3687  2    31870  2   101.3      Th   I   PE83
 3547.9175 28177.4979    4.601                          102.5      Th       PE83
 3549.5959 28164.1743   26.611    8111  4    36275  5   101.5      Th   I   PE83
 3550.7184 28155.2709    6.835    5563  1    33718  2   102.7      Th   I   PE83
 3551.4019 28149.8525   38.158    2869  3    31019  4   100.9      Th   I   PE83
 3553.1103 28136.3179    6.928   12570  3.5  40706  3.5 103.8      Th  II   PE83
 3555.0135 28121.2554   28.391    2869  3    30990  3   102.1      Th   I   PE83
 3555.7046 28115.7897    8.286   38529  3    10414  4   103.6      Th   I   PE83
